Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
b2477	b2477	2	2	2		1	2	2	2	7.8	7.8	7.8	36.842	344	344	0	3.0311	NaN	NaN	NaN	0	0	Median	32919	0	32919				179	122;721	True;True	123;727	252;1385	1235;6059	1235;6059		
b2478	b2478	3	3	3		1	3	3	3	11.3	11.3	11.3	31.27	292	292	0	8.4124	0.64356	0.8909	11.775	3	0	Leave out requantified	107220	65312	41910				180	451;1073;1163	True;True;True	455;1080;1171	909;2080;2261	4123;4124;4125;4126;4127;8968;8969;8970;9698;9699;9700;9701;9702	4123;8968;9698		
b2498	b2498	2	2	2		1	2	2	2	11.5	11.5	11.5	22.533	208	208	0	2.0221	0.80708	1.1178	3.5725	3	0	Median	145810	77178	68636				181	953;1797	True;True	960;1817	1846;1847;3553	8113;8114;8115;8116;8117;8118;8119;8120;14877;14878	8120;14877		
b2507	b2507	20	20	20		1	20	20	20	50.1	50.1	50.1	58.679	525	525	0	67.964	1.782	1.5725	32.089	25	0	Leave out requantified	3079700	1277000	1802700				182	33;231;400;485;551;594;655;804;875;897;991;1012;1259;1429;1430;1560;1734;1767;1826;1881	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	33;235;404;489;555;599;661;810;882;904;998;1019;1269;1445;1446;1579;1754;1787;1847;1902	69;498;807;960;1084;1085;1086;1170;1272;1273;1274;1553;1692;1693;1742;1743;1744;1745;1927;1965;2456;2457;2777;2778;2779;3046;3425;3426;3427;3428;3496;3497;3603;3604;3605;3606;3607;3608;3609;3724	334;2401;2402;2403;2404;2405;2406;2407;2408;3736;3737;4358;4359;4360;4832;4833;4834;4835;4836;4837;4838;4839;4840;4841;4842;4843;4844;4845;4846;4847;5242;5243;5244;5245;5651;5652;5653;5654;5655;5656;5657;5658;5659;5660;5661;6766;6767;6768;6769;6770;6771;6772;6773;6774;6775;6776;6777;7376;7377;7378;7379;7380;7681;7682;7683;7684;7685;7686;7687;7688;7689;7690;7691;7692;7693;8350;8351;8352;8464;8465;8466;10440;10441;10442;10443;10444;10445;10446;11637;11638;11639;12735;12736;12737;12738;14300;14301;14302;14303;14304;14305;14306;14307;14308;14309;14310;14311;14312;14313;14314;14315;14316;14317;14318;14319;14320;14637;14638;14639;14640;14641;14642;14643;15079;15080;15081;15082;15083;15084;15085;15086;15087;15088;15089;15090;15091;15092;15093;15094;15095;15096;15097;15098;15099;15100;15101;15703;15704;15705;15706;15707	334;2402;3736;4358;4837;5243;5654;6773;7376;7683;8351;8465;10442;11638;11639;12735;14301;14639;15082;15704		
b2508	b2508	14	14	14		1	14	14	14	48	48	48	52.022	488	488	0	35.37	1.1171	0.97773	9.4266	21	0	Leave out requantified	2561400	1229900	1331500				183	119;167;709;787;933;967;989;1029;1156;1221;1320;1714;1736;1911	True;True;True;True;True;True;True;True;True;True;True;True;True;True	120;170;715;793;940;974;996;1036;1164;1229;1335;1734;1756;1933	246;344;1366;1526;1809;1810;1878;1925;1995;1996;1997;1998;1999;2000;2251;2252;2253;2380;2590;3382;3383;3384;3385;3386;3430;3431;3791	1223;1224;1225;1226;1227;1228;1656;1657;1658;1659;1660;1661;1662;5966;5967;5968;5969;5970;6658;6659;6660;6661;6662;7994;7995;7996;8182;8183;8184;8185;8186;8187;8348;8600;8601;8602;8603;8604;8605;8606;8607;8608;8609;8610;8611;8612;8613;8614;8615;8616;8617;8618;8619;8620;8621;8622;9657;9658;9659;9660;9661;9662;9663;9664;9665;9666;9667;9668;9669;10149;10150;10151;10152;10927;14138;14139;14140;14141;14142;14143;14144;14145;14146;14147;14148;14149;14150;14151;14152;14153;14154;14155;14156;14157;14158;14159;14160;14161;14162;14163;14164;14165;14166;14167;14168;14169;14170;14171;14172;14173;14174;14175;14176;14177;14178;14179;14180;14330;14331;14332;14333;14334;14335;14336;14337;14338;14339;14340;14341;14342;14343;14344;14345;14346;14347;14348;14349;16013;16014;16015;16016;16017;16018	1226;1658;5969;6660;7995;8184;8348;8603;9664;10152;10927;14164;14334;16014		
b2514	b2514	4	4	4		1	4	4	4	10.6	10.6	10.6	46.997	424	424	0	5.7325	0.93878	0.95839	4.8847	4	0	Leave out requantified	128110	72355	55753				184	1162;1219;1230;1361	True;True;True;True	1170;1227;1238;1376	2260;2377;2401;2402;2662	9696;9697;10144;10245;10246;10247;11190	9696;10144;10245;11190		
b2518	b2518	4	4	4		1	4	4	4	35	35	35	15.463	143	143	0	8.6474	0.72116	1.2452	4.4933	6	0	Leave out requantified	795930	441430	354500				185	810;1272;1360;1602	True;True;True;True	816;1283;1375;1621	1564;2486;2487;2659;2660;2661;3122;3123	6825;10522;10523;10524;11185;11186;11187;11188;11189;13033;13034;13035;13036;13037;13038;13039	6825;10522;11189;13035		
b2523	b2523	4	4	4		1	4	4	4	10.1	10.1	10.1	46.18	427	427	0	3.5128	0.76106	0.76635	27.559	2	0	Median	158270	112930	45339				186	226;670;947;1149	True;True;True;True	230;676;954;1156	488;1300;1833;2233;2234	2347;5721;8080;9564;9565;9566	2347;5721;8080;9566		
b2530	b2530	7	7	7		1	7	7	7	19.3	19.3	19.3	45.089	404	404	0	12.381	0.99843	1.1425	14.38	5	0	Leave out requantified	281170	138080	143090				187	131;325;409;658;1161;1352;1391	True;True;True;True;True;True;True	132;329;413;664;1169;1367;1406	269;662;828;1277;1278;2259;2648;2705	1329;1330;1331;3077;3078;3079;3080;3800;3801;5669;5670;5671;5672;9695;11151;11152;11338	1331;3077;3801;5670;9695;11152;11338		
b2533	b2533	2	2	2		1	2	2	2	7.9	7.9	7.9	29.172	267	267	0	4.2081	0.78488	1.0865	5.6177	2	0	Median	63860	33925	29936				188	5;1261	True;True	5;1271	17;2461	94;95;10452	95;10452		
b2551	b2551	6	6	6		1	6	6	6	15.1	15.1	15.1	45.316	417	417	0	17.103	2.3539	2.3746	19.81	6	0	Leave out requantified	783210	301080	482120				189	172;646;1528;1756;1802;1856	True;True;True;True;True;True	175;652;1546;1776;1823;1877	350;351;352;353;354;1258;2992;2993;3472;3559;3671;3672;3673;3674	1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697;1698;1699;1700;1701;1702;1703;1704;1705;1706;1707;1708;5584;5585;5586;5587;5588;12525;12526;12527;12528;12529;12530;12531;14564;14565;14566;14567;14894;15502;15503;15504;15505;15506;15507;15508;15509;15510;15511;15512;15513	1689;5585;12527;14565;14894;15506		
b2569	b2569	2	2	2		1	2	2	2	5	5	5	66.57	599	599	0	4.2539	NaN	NaN	NaN	1	0	Median	65959	8851.7	57107				190	1395;1713	True;True	1411;1733	2712;3381	11362;11363;11364;11365;11366;11367;14137	11367;14137		
b2579	b2579	6	6	6		1	6	6	6	49.6	49.6	49.6	14.284	127	127	0	11.758	0.35096	0.63496	8.3012	5	0	Leave out requantified	719210	567390	151820				191	97;491;507;1075;1076;1720	True;True;True;True;True;True	98;495;511;1082;1083;1740	205;968;991;992;2082;2083;3405	986;4401;4402;4403;4461;4462;8972;8973;8974;8975;8976;14250;14251	986;4402;4461;8972;8975;14251		
b2595	b2595	6	6	6		1	6	6	6	31	31	31	27.829	245	245	0	7.4815	0.62544	0.86624	17.52	4	0	Leave out requantified	183400	126000	57396				192	10;270;612;702;1158;1302	True;True;True;True;True;True	10;274;617;708;1166;1317	23;573;1208;1356;2255;2561	111;2685;5399;5400;5401;5402;5927;5928;5929;5930;5931;5932;9674;9675;9676;10833;10834	111;2685;5401;5928;9675;10834		
b2599	b2599	2	2	2		1	2	2	2	4.7	4.7	4.7	43.111	386	386	0	2.3725	1.2668	1.2815	12.779	2	0	Median	73740	30685	43055				193	1125;1663	True;True	1132;1682	2173;3222	9327;9328;9329;9330;9331;13338	9329;13338		
b2606	b2606	7	7	7		1	7	7	7	53	53	53	13.133	115	115	0	22.854	0.54209	0.94612	3.0126	9	0	Leave out requantified	1558400	1009600	548710				194	690;1166;1383;1444;1732;1733;1863	True;True;True;True;True;True;True	696;1174;1398;1460;1752;1753;1884	1342;1343;2265;2697;2813;3422;3423;3424;3699;3700	5889;5890;5891;5892;5893;5894;5895;5896;9721;9722;9723;9724;9725;9726;9727;9728;9729;9730;9731;9732;9733;9734;9735;9736;9737;11316;11757;14289;14290;14291;14292;14293;14294;14295;14296;14297;14298;14299;15615;15616;15617;15618;15619;15620;15621;15622;15623;15624	5894;9725;11316;11757;14291;14296;15623		
b2609	b2609	6	6	6		1	6	6	6	65.9	65.9	65.9	9.1904	82	82	0	57.21	0.59222	1.0715	6.2486	6	0	Leave out requantified	2934700	1837400	1097300				195	827;828;1003;1740;1741;1742	True;True;True;True;True;True	833;834;1010;1760;1761;1762	1593;1594;1948;3444;3445;3446	6918;6919;6920;6921;6922;8412;8413;8414;8415;8416;8417;8418;8419;14439;14440;14441;14442;14443;14444;14445;14446;14447;14448	6919;6922;8414;14439;14440;14445		
b2669	b2669	3	3	3		1	3	3	3	26.1	26.1	26.1	15.347	134	134	0	4.375	0.47806	0.83149	8.7653	2	0	Median	155510	95860	59646				196	402;937;1563	True;True;True	406;944;1582	815;1815;3049	3753;3754;3755;3756;8009;12748	3753;8009;12748		
b2687	b2687	3	3	3		1	3	3	3	22.8	22.8	22.8	19.416	171	171	0	5.4333	0.84038	1.28	10.565	3	0	Leave out requantified	126700	68580	58120				197	912;1370;1645	True;True;True	919;1385;1664	1780;2671;3195	7862;7863;7864;11224;11225;11226;11227;11228;11229;13243;13244;13245	7863;11224;13243		
b2697	b2697	7	7	7		1	7	7	7	10.8	10.8	10.8	96.031	876	876	0	9.9958	2.1462	1.4044	18.437	5	0	Leave out requantified	180880	49393	131490				198	77;228;680;784;1145;1181;1214	True;True;True;True;True;True;True	78;232;686;790;1152;1189;1222	159;494;1321;1322;1323;1517;2225;2226;2299;2368	724;725;2380;2381;2382;5784;5785;5786;5787;5788;5789;5790;5791;5792;5793;5794;5795;5796;5797;5798;5799;6612;9545;9546;9547;9548;9549;9550;9867;10115	725;2380;5796;6612;9548;9867;10115		
b2699	b2699	3	3	3		1	3	3	3	10.2	10.2	10.2	37.973	353	353	0	4.9113	0.92477	1.1919	4.0042	3	0	Median	163910	95965	67945				199	120;957;1670	True;True;True	121;964;1689	247;248;249;250;1856;3252;3253	1229;1230;1231;1232;1233;8141;13565;13566	1231;8141;13565		
b2751	b2751	2	2	2		1	2	2	2	5.3	5.3	5.3	52.558	475	475	0	4.8534	NaN	NaN	NaN	0	0	Median	106170	29426	76747				200	811;1049	True;True	817;1056	1565;2036;2037;2038	6826;8760;8761;8762;8763;8764;8765;8766;8767;8768	6826;8766		
b2752	b2752	1	1	1		1	1	1	1	3.6	3.6	3.6	35.188	302	302	0	2.513	NaN	NaN	NaN	1	0	Median	30987	17725	13262				201	1913	True	1935	3793	16020;16021;16022;16023	16022		
b2763	b2763	5	5	5		1	5	5	5	10.5	10.5	10.5	63.997	570	570	0	6.2834	1.3894	1.3929	19.701	4	0	Leave out requantified	123810	47784	76023				202	170;251;478;515;618	True;True;True;True;True	173;255;482;519;623	347;532;947;1004;1214	1675;2549;2550;2551;2552;2553;4307;4503;4504;5410;5411;5412	1675;2553;4307;4504;5410		
b2764	b2764	5	5	5		1	5	5	5	12.4	12.4	12.4	66.269	599	599	0	9.194	2.1414	1.2445	9.8758	4	0	Leave out requantified	209120	45249	163870				203	467;468;572;1135;1475	True;True;True;True;True	471;472;576;1142;1491	934;935;1128;1129;1130;2204;2887	4248;4249;4250;4251;4252;5000;5001;5002;5003;5004;5005;5006;5007;5008;5009;5010;5011;5012;5013;5014;5015;5016;5017;5018;5019;5020;5021;5022;5023;5024;5025;5026;5027;5028;5029;9452;12119;12120	4249;4252;5010;9452;12119		
b2779	b2779	12	12	12		1	12	12	12	34.5	34.5	34.5	45.654	432	432	0	113.44	0.548	0.5561	5.4148	25	0	Leave out requantified	7295400	4701200	2594200				204	11;70;262;529;559;652;842;902;923;1260;1486;1955	True;True;True;True;True;True;True;True;True;True;True;True	11;71;266;533;563;658;848;909;930;1270;1502;1977	24;25;142;143;144;552;553;554;555;556;557;558;559;560;1033;1034;1100;1101;1267;1268;1619;1620;1754;1755;1756;1797;2458;2459;2460;2901;3853;3854;3855	112;113;114;115;116;117;118;119;120;636;637;638;639;640;641;642;643;644;645;646;647;648;649;650;651;652;653;654;655;656;657;658;659;660;2625;2626;2627;2628;2629;2630;2631;2632;2633;2634;2635;2636;2637;2638;2639;2640;2641;2642;2643;2644;2645;2646;2647;2648;2649;2650;2651;2652;4602;4603;4604;4868;4869;4870;4871;4872;4873;4874;4875;4876;4877;4878;4879;5633;5634;5635;7005;7006;7007;7008;7009;7010;7011;7012;7013;7741;7742;7743;7744;7745;7746;7747;7748;7749;7750;7751;7752;7753;7754;7755;7756;7963;7964;10447;10448;10449;10450;10451;12168;12169;12170;12171;12172;16284;16285;16286;16287;16288;16289;16290;16291;16292;16293;16294;16295;16296;16297;16298;16299;16300;16301	117;641;2639;4603;4870;5634;7009;7741;7963;10450;12170;16299		
b2780	b2780	7	7	7		1	7	7	7	13.9	13.9	13.9	60.373	545	545	0	26.932	0.98229	0.98482	12.29	6	0	Leave out requantified	320190	171930	148250				205	651;683;698;749;1108;1409;1918	True;True;True;True;True;True;True	657;689;704;755;1115;1425;1940	1266;1327;1352;1437;2141;2739;3801	5618;5619;5620;5621;5622;5623;5624;5625;5626;5627;5628;5629;5630;5631;5632;5803;5804;5805;5806;5807;5808;5809;5810;5811;5812;5813;5913;6263;6264;9183;11474;16040;16041	5632;5811;5913;6263;9183;11474;16040		
b2842	b2842	1	1	1		1	1	1	1	6.3	6.3	6.3	27.07	253	253	1	-2	NaN	NaN	NaN	1	0	Median	161670	113210	48460	+			206	1496	True	1512	2921	12230	12230	10;11	166;172
b2890;b4129	b2890	13;4	13;4	13;4		2	13	13	13	27.1	27.1	27.1	57.603	505	505;505	0	89.082	3.343	3.3516	45.605	10	0	Leave out requantified	679990	223860	456130				207	99;161;197;322;480;833;924;1297;1534;1594;1631;1872;1925	True;True;True;True;True;True;True;True;True;True;True;True;True	100;164;200;326;484;839;931;1309;1552;1613;1650;1893;1947	207;330;407;658;951;1603;1798;2531;3005;3098;3172;3712;3808;3809	988;989;1615;1616;2014;2015;2016;2017;2018;2019;3050;3051;3052;3053;3054;3055;3056;3057;3058;3059;3060;3061;3062;3063;3064;3065;3066;4311;4312;4313;4314;6962;7965;7966;7967;10678;12570;12902;12903;12904;12905;12906;13160;15666;16060;16061;16062;16063;16064;16065;16066;16067;16068;16069	989;1616;2015;3057;4314;6962;7967;10678;12570;12902;13160;15666;16064		
b2898	b2898	2	2	2		1	2	2	2	6.7	6.7	6.7	36.094	326	326	0	2.8297	NaN	NaN	NaN	1	0	Median	79180	61551	17630				208	168;1790	True;True	171;1810	345;3538;3539;3540	1663;14790;14791;14792	1663;14790		
b2901	b2901	2	2	2		1	2	2	2	5.6	5.6	5.6	55.36	479	479	0.0058997	1.6931	0.66225	0.58441	3.0897	2	0	Median	56064	32186	23878				209	284;514	True;True	288;518	593;1003	2745;4500;4501;4502	2745;4500		
b2913	b2913	7	7	7		1	7	7	7	20	20	20	44.175	410	410	0	14.621	1.5037	1.5164	44.351	10	0	Leave out requantified	915620	472340	443280				210	12;263;434;547;1015;1549;1618	True;True;True;True;True;True;True	12;267;438;551;1022;1568;1637	26;561;874;875;1074;1075;1076;1077;1969;1970;3028;3029;3030;3031;3032;3147	121;122;2653;2654;2655;3986;3987;3988;4782;4783;4784;4785;4786;4787;8476;8477;8478;8479;12672;12673;12674;12675;12676;12677;12678;12679;12680;12681;12682;12683;12684;12685;12686;12687;12688;12689;12690;12691;12692;12693;12694;12695;13089	121;2653;3988;4787;8478;12679;13089		
b2914	b2914	2	2	2		1	2	2	2	11.9	11.9	11.9	22.86	219	219	0	5.8978	0.74777	1.0357	7.1594	2	0	Median	88204	52271	35933				211	563;599	True;True	567;604	1113;1178	4920;4921;4922;4923;4924;4925;4926;5277;5278;5279;5280	4922;5280		
b2924	b2924	2	2	2		1	2	2	2	8	8	8	30.896	286	286	0	4.3064	0.65144	0.93283	6.2151	3	0	Plateau	158300	110760	47537				212	874;1397	True;True	881;1413	1690;1691;2716;2717	7370;7371;7372;7373;7374;7375;11382;11383;11384;11385;11386	7370;11383		
b2925	b2925	5	5	5		1	5	5	5	21.7	21.7	21.7	39.147	359	359	0	48.286	1.2181	1.9791	17.046	5	0	Leave out requantified	1223500	731930	491540				213	69;90;177;579;849	True;True;True;True;True	70;91;180;583;855	137;138;139;140;141;194;195;196;362;1141;1631;1632;1633;1634;1635	627;628;629;630;631;632;633;634;635;939;940;941;942;943;944;945;946;947;948;949;950;951;952;953;954;955;956;957;1762;5092;5093;5094;5095;5096;5097;5098;5099;7074;7075;7076;7077;7078;7079;7080;7081;7082;7083;7084;7085;7086;7087;7088;7089;7090;7091;7092;7093;7094;7095;7096;7097;7098;7099;7100;7101;7102;7103;7104;7105;7106	633;941;1762;5095;7100		
b2926	b2926	11	11	11		1	11	11	11	35.9	35.9	35.9	41.118	387	387	0	56.064	0.86841	0.94701	14.723	15	0	Leave out requantified	2427600	1409300	1018300				214	37;137;203;821;940;1206;1291;1519;1520;1625;1791	True;True;True;True;True;True;True;True;True;True;True	37;138;206;827;947;1214;1302;1535;1536;1644;1811	74;285;415;416;417;418;419;420;1582;1819;2349;2350;2351;2517;2518;2519;2520;2967;2968;2969;3162;3541;3542;3543;3544	352;353;354;1434;1435;1436;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;6877;6878;6879;6880;8024;8025;10027;10028;10029;10030;10031;10032;10033;10034;10035;10036;10624;10625;10626;10627;10628;12401;12402;12403;12404;12405;12406;12407;12408;12409;12410;12411;12412;13131;14793;14794;14795;14796;14797;14798;14799;14800;14801;14802;14803;14804;14805;14806;14807;14808;14809;14810;14811;14812;14813;14814;14815;14816;14817;14818;14819;14820;14821;14822;14823;14824;14825;14826;14827;14828;14829;14830;14831;14832;14833;14834;14835;14836;14837;14838;14839;14840;14841;14842;14843;14844;14845	353;1434;2039;6879;8024;10028;10626;12402;12410;13131;14815		
b2935;b2465	b2935	9;1	9;1	9;1		2	9	9	9	17.6	17.6	17.6	72.211	663	663;667	0	28.989	1.8021	1.2264	9.0464	8	0	Leave out requantified	568020	227320	340690				215	108;256;522;1381;1489;1585;1624;1709;1899	True;True;True;True;True;True;True;True;True	109;260;526;1396;1505;1604;1643;1729;1921	227;228;544;1016;2689;2906;2907;3084;3161;3373;3374;3771	1158;1159;1160;1161;2607;2608;4528;4529;11288;11289;11290;12179;12180;12181;12182;12183;12184;12185;12186;12187;12188;12189;12190;12191;12852;12853;12854;12855;12856;12857;12858;12859;12860;13125;13126;13127;13128;13129;13130;14084;14085;14086;14087;14088;14089;15936;15937;15938;15939	1161;2607;4529;11288;12185;12857;13126;14088;15939		
b2937	b2937	4	4	4		1	4	4	4	11.8	11.8	11.8	33.557	306	306	0	4.8805	0.69526	0.96247	20.564	3	0	Median	237810	99730	138080				216	565;566;1273;1550	True;True;True;True	569;570;1284;1569	1115;1116;2488;2489;3033	4929;4930;10525;10526;10527;10528;10529;10530;10531;10532;10533;12696	4929;4930;10530;12696		
b2938	b2938	2	2	2		1	2	2	2	3.2	3.2	3.2	73.898	658	658	0	2.0663	1.3947	0.96002	63.691	3	0	Median	100370	42605	57765				217	1287;1716	True;True	1298;1736	2511;2512;3400;3401	10606;10607;14243;14244	10606;14243		
b2942	b2942	6	6	6		1	6	6	6	18.2	18.2	18.2	41.951	384	384	0	6.7485	2.0337	2.0588	6.0347	6	0	Leave out requantified	194300	61612	132690				218	527;820;885;1334;1537;1813	True;True;True;True;True;True	531;826;892;1349;1555;1834	1030;1581;1712;2617;3008;3579	4589;4590;6875;6876;7497;7498;11006;11007;12573;15001;15002	4590;6875;7498;11007;12573;15001		
b2947	b2947	1	1	1		1	1	1	1	4.1	4.1	4.1	35.56	316	316	0.0029851	1.7555	NaN	NaN	NaN	1	0	Median	37370	22511	14858				219	692	True	698	1345	5898;5899	5899		
b3006	b3006	3	3	3		1	3	3	3	16	16	16	26.255	244	244	0	10.112	0.59399	0.83921	4.7999	4	0	Leave out requantified	271950	182710	89244				220	171;314;484	True;True;True	174;318;488	348;349;642;643;644;645;958;959	1676;1677;1678;1679;1680;1681;1682;1683;1684;2980;2981;2982;2983;4347;4348;4349;4350;4351;4352;4353;4354;4355;4356;4357	1680;2982;4357		
b3029	b3029	2	2	2		1	2	2	2	24	24	24	11.532	104	104	0.0057471	1.6213	0.69375	1.2066	48.561	2	0	Median	58007	36515	21492				221	257;1274	True;True	261;1285	545;2490	2609;10534;10535	2609;10535		
b3035	b3035	5	5	5		1	5	5	5	13	13	13	53.74	493	493	0	5.9973	0.37565	0.38651	5.7657	3	0	Leave out requantified	204900	162610	42291				222	1340;1347;1378;1627;1935	True;True;True;True;True	1355;1362;1393;1646;1957	2631;2641;2684;3165;3826	11103;11104;11105;11127;11269;11270;11271;13134;13135;16163;16164;16165;16166	11104;11127;11269;13135;16165		
b3058	b3058	1	1	1		1	1	1	1	9.8	9.8	9.8	13.619	122	122	0	4.9365	NaN	NaN	NaN	1	0	Median	24946	17409	7537.6				223	1696	True	1715	3310	13776	13776		
b3065	b3065	4	4	4		1	4	4	4	43.7	43.7	43.7	8.4999	71	71	0	7.5561	0.58753	1.0163	6.3591	6	0	Leave out requantified	967470	646660	320810				224	95;406;477;1824	True;True;True;True	96;410;481;1845	202;203;823;824;945;946;3600;3601	978;979;980;981;982;983;984;3788;3789;3790;3791;4300;4301;4302;4303;4304;4305;4306;15072;15073;15074;15075;15076	984;3789;4305;15076		
b3067	b3067	2	2	2		1	2	2	2	3.3	3.3	3.3	70.263	613	613	0	4.2918	NaN	NaN	NaN	0	0	Median	26213	0	26213				225	473;1385	True;True	477;1400	940;2699	4266;4267;4268;4269;11324	4267;11324		
b3110	b3110	1	1	1		1	1	1	1	1.6	1.6	1.6	48.314	443	443	1	-2	NaN	NaN	NaN	0	0	Median	158010	158010	0	+			226	1246	True	1254	2434	10372	10372	12	1
b3162	b3162	9	9	9		1	9	9	9	19.9	19.9	19.9	70.545	629	629	0	11.048	0.95585	0.73418	9.0258	6	0	Leave out requantified	254590	150930	103660				227	43;142;182;447;759;926;935;1183;1307	True;True;True;True;True;True;True;True;True	43;143;185;451;765;933;942;1191;1322	82;297;298;367;905;1450;1800;1812;2301;2302;2303;2304;2571	393;394;1505;1506;1507;1508;1768;1769;1770;4114;4115;6308;7969;7970;7971;8001;8002;8003;8004;9869;9870;9871;9872;9873;10888	393;1505;1770;4114;6308;7970;8001;9870;10888		
b3164	b3164	14	14	14		1	14	14	14	24.6	24.6	24.6	77.082	711	711	0	64.675	4.3489	6.5899	19.32	5	0	Leave out requantified	1118600	612290	506310				228	25;117;273;292;414;431;615;629;754;955;1099;1688;1834;1900	True;True;True;True;True;True;True;True;True;True;True;True;True;True	25;118;277;296;418;435;620;634;760;962;1106;1707;1855;1922	51;52;53;54;55;56;242;577;578;579;580;605;835;868;869;870;1211;1228;1229;1442;1443;1849;1850;1851;1852;1853;2129;2130;2131;3298;3299;3617;3772	274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;1213;2698;2699;2700;2701;2702;2703;2704;2705;2706;2707;2708;2709;2710;2711;2804;2805;2806;3820;3821;3822;3823;3961;3962;3963;3964;3965;3966;3967;3968;3969;3970;3971;3972;3973;5405;5406;5458;5459;5460;5461;5462;6277;6278;8122;8123;8124;8125;8126;8127;8128;8129;8130;8131;8132;8133;8134;9140;9141;9142;9143;9144;9145;9146;9147;9148;13743;13744;13745;13746;15129;15130;15940	280;1213;2706;2804;3821;3967;5405;5459;6277;8126;9144;13746;15130;15940		
b3165	b3165	5	5	5		1	5	5	5	69.7	69.7	69.7	10.269	89	89	0	10.426	0.60886	1.059	10.572	4	0	Leave out requantified	1052200	635190	416960				229	271;965;996;1515;1948	True;True;True;True;True	275;972;1003;1531;1970	574;1874;1934;2956;2957;3844	2686;2687;2688;2689;2690;2691;2692;2693;2694;2695;8177;8178;8377;12384;12385;12386;12387;12388;12389;16250;16251;16252	2689;8177;8377;12389;16252		
b3167	b3167	2	2	2		1	2	2	2	13.5	13.5	13.5	15.154	133	133	0	2.7138	NaN	NaN	NaN	1	0	Median	51866	24732	27134				230	159;424	True;True	162;428	328;858	1612;3933	1612;3933		
b3168	b3168	5	5	5		1	5	5	5	7.1	7.1	7.1	97.349	890	890	0	9.3326	0.30188	0.25156	4.304	2	0	Median	145850	74680	71166				231	92;705;729;1419;1665	True;True;True;True;True	93;711;735;1435;1684	198;199;1361;1402;1403;1404;2756;2757;3226;3227	959;960;961;5949;5950;6145;6146;6147;6148;6149;6150;11512;11513;13359;13360;13361;13362	959;5950;6147;11513;13359		
b3169	b3169	9	9	9		1	9	9	9	20.4	20.4	20.4	54.87	495	495	0	34.654	3.1373	2.894	19.443	5	0	Leave out requantified	325560	85245	240320				232	72;428;439;604;848;850;1504;1818;1884	True;True;True;True;True;True;True;True;True	73;432;443;609;854;856;1520;1839;1905	146;862;863;864;865;887;1187;1630;1636;1637;2934;3587;3733;3734	662;663;3942;3943;3944;3945;3946;3947;3948;3949;3950;3951;3952;3953;3954;3955;3956;3957;4053;5305;7073;7107;7108;7109;7110;12290;15027;15735;15736;15737;15738;15739;15740	663;3951;4053;5305;7073;7109;12290;15027;15735		
b3185	b3185	4	4	4		1	4	4	4	35.3	35.3	35.3	9.1244	85	85	0	30.286	0.563	0.96898	4.4129	4	0	Leave out requantified	939290	591870	347420				233	304;532;980;1438	True;True;True;True	308;536;987;1454	629;1042;1903;2804	2931;2932;2933;4639;4640;4641;4642;4643;4644;4645;4646;4647;4648;4649;4650;4651;4652;4653;4654;8276;11727;11728;11729;11730	2931;4642;8276;11729		
b3186	b3186	3	3	3		1	3	3	3	32	32	32	11.564	103	103	0	10.928	0.64517	1.05	10.59	5	0	Leave out requantified	1216900	770810	446100				234	59;871;1300	True;True;True	59;878;1314;1315	106;1677;1678;2557;2558;2559	479;7276;7277;7278;7279;7280;7281;7282;7283;7284;7285;7286;7287;7288;10822;10823;10824;10825;10826;10827;10828;10829;10830;10831	479;7280;10825	13	1
b3189	b3189	2	2	2		1	2	2	2	4.8	4.8	4.8	44.817	419	419	0	3.0165	1.1148	1.1294	2.1959	2	0	Median	60711	29807	30904				235	200;960	True;True	203;967	411;1865	2025;2026;2027;8168	2027;8168		
b3192	b3192	4	4	4		1	4	4	4	18.5	18.5	18.5	23.962	211	211	0	3.9278	0.69477	0.96226	47.781	5	0	Leave out requantified	194630	101860	92771				236	389;653;1414;1894	True;True;True;True	393;659;1430;1915	792;1269;2749;3759;3760	3650;3651;3652;3653;5636;11490;11491;15864;15865;15866;15867;15868;15869	3653;5636;11491;15868		
b3193	b3193	1	1	1		1	1	1	1	6.6	6.6	6.6	19.576	183	183	0	4.2173	NaN	NaN	NaN	1	0	Median	24126	15694	8431.8				237	1531	True	1549	3000	12557;12558;12559;12560;12561;12562	12562		
